flag,area,confirmed,suspected,cured,dead
-1,两江新区,9,0,0,0
-1,外地来津,4,0,0,0
-1,待确认,10,0,0,0
-1,外地来京,11,0,0,0
-1,待确认,7,0,0,0
-1,宁东,1,0,0,0
-1,待确认,9,0,0,0
-1,外地来沪,58,0,0,0
110000,北京市,132,0,5,1
110101,东城区,3,0,0,0
110102,西城区,13,0,0,0
110105,朝阳区,22,0,0,0
110106,丰台区,11,0,0,0
110107,石景山区,2,0,0,0
110108,海淀区,26,0,0,0
110109,门头沟区,1,0,0,0
110112,通州区,12,0,0,0
110113,顺义区,2,0,0,0
110114,昌平区,12,0,0,0
110115,大兴区,16,0,0,0
110116,怀柔区,1,0,0,0
120000,天津市,31,0,0,0
120101,和平区,3,0,0,0
120102,河东区,5,0,0,0
120103,河西区,3,0,0,0
120104,南开区,2,0,0,0
120105,河北区,8,0,0,0
120106,红桥区,2,0,0,0
120111,西青区,2,0,0,0
120116,滨海新区,2,0,0,0
130000,河北省,82,78,0,1
130100,石家庄市,11,14,0,0
130200,唐山市,7,8,0,0
130300,秦皇岛市,0,11,0,0
130400,邯郸市,7,0,0,0
130500,邢台市,7,6,0,0
130600,保定市,11,0,0,0
130682,定州市,0,1,0,0
130700,张家口市,6,8,0,0
130800,承德市,2,0,0,0
130900,沧州市,18,1,0,1
131000,廊坊市,9,2,0,0
131100,衡水市,4,0,0,0
140000,山西省,39,0,1,0
140100,太原市,4,0,1,0
140200,大同市,5,0,0,0
140300,阳泉市,1,0,0,0
140400,长治市,3,0,0,0
140600,朔州市,3,0,0,0
140700,晋中市,9,0,0,0
140800,运城市,8,0,0,0
141000,临汾市,1,0,0,0
141100,吕梁市,5,0,0,0
150000,内蒙古自治区,20,1,0,0
150100,呼和浩特市,2,0,0,0
150200,包头市,3,0,0,0
150400,赤峰市,2,0,0,0
150500,通辽市,1,0,0,0
150600,鄂尔多斯市,3,0,0,0
150700,呼伦贝尔市,2,0,0,0
150800,巴彦淖尔市,2,1,0,0
150900,乌兰察布市,2,0,0,0
152200,兴安盟,1,0,0,0
