flag,area,confirmed,suspected,cured,dead
-1,两江新区,3,0,0,0
-1,外地来京,11,0,0,0
-1,外地来津,1,0,0,0
110000,北京市,41,0,0,0
110102,西城区,4,0,0,0
110105,朝阳区,6,0,0,0
110106,丰台区,2,0,0,0
110107,石景山区,1,0,0,0
110108,海淀区,8,0,0,0
110112,通州区,3,0,0,0
110113,顺义区,1,0,0,0
110114,昌平区,3,0,0,0
110115,大兴区,2,0,0,0
120000,天津市,10,0,0,0
120101,和平区,1,0,0,0
120102,河东区,3,0,0,0
120104,南开区,1,0,0,0
120105,河北区,2,0,0,0
120111,西青区,1,0,0,0
120116,滨海新区,1,0,0,0
130000,河北省,13,0,0,1
130100,石家庄市,5,0,0,0
130400,邯郸市,2,0,0,0
130600,保定市,3,0,0,0
130800,承德市,1,0,0,0
130900,沧州市,2,0,0,1
140000,山西省,9,0,0,0
140100,太原市,2,0,0,0
140200,大同市,1,0,0,0
140300,阳泉市,1,0,0,0
140400,长治市,1,0,0,0
140700,晋中市,2,0,0,0
140800,运城市,2,0,0,0
150000,内蒙古自治区,7,0,0,0
150400,赤峰市,1,0,0,0
150600,鄂尔多斯市,2,0,0,0
150700,呼伦贝尔市,2,0,0,0
152500,锡林郭勒盟,2,0,0,0
210000,辽宁省,16,0,0,0
210100,沈阳市,5,0,0,0
210200,大连市,4,0,0,0
210500,本溪市,1,0,0,0
211200,铁岭市,2,0,0,0
211300,朝阳市,2,0,0,0
211400,葫芦岛市,2,0,0,0
220000,吉林省,4,0,0,0
220100,长春市,1,0,0,0
220200,吉林市,2,0,0,0
220700,松原市,1,0,0,0
230000,黑龙江省,15,17,0,1
230100,哈尔滨市,8,0,0,0
230200,齐齐哈尔市,1,0,0,0
230600,大庆市,3,0,0,0
231000,牡丹江市,1,0,0,0
231200,绥化市,2,0,0,1
310000,上海市,40,95,1,1
320000,江苏省,31,0,1,0
320100,南京市,7,0,0,0
320200,无锡市,2,0,0,0
320400,常州市,5,0,0,0
320500,苏州市,7,0,1,0
320600,南通市,2,0,0,0
320700,连云港市,3,0,0,0
320800,淮安市,1,0,0,0
320900,盐城市,1,0,0,0
321000,扬州市,1,0,0,0
321200,泰州市,1,0,0,0
321300,宿迁市,1,0,0,0
330000,浙江省,104,0,1,0
330100,杭州市,27,0,0,0
330200,宁波市,13,0,0,0
330300,温州市,18,0,1,0
330400,嘉兴市,8,0,0,0
330500,湖州市,1,0,0,0
330600,绍兴市,5,0,0,0
330700,金华市,3,0,0,0
330800,衢州市,3,0,0,0
330900,舟山市,2,0,0,0
331000,台州市,21,0,0,0
331100,丽水市,3,0,0,0
340000,安徽省,60,0,0,0
340100,合肥市,13,0,0,0
340200,芜湖市,3,0,0,0
340300,蚌埠市,1,0,0,0
340400,淮南市,1,0,0,0
340500,马鞍山市,7,0,0,0
340600,淮北市,1,0,0,0
340700,铜陵市,3,0,0,0
340800,安庆市,5,0,0,0
341000,黄山市,1,0,0,0
341100,滁州市,2,0,0,0
341200,阜阳市,10,0,0,0
341300,宿州市,2,0,0,0
341500,六安市,3,0,0,0
341600,亳州市,6,0,0,0
341700,池州市,1,0,0,0
341800,宣城市,1,0,0,0
350000,福建省,18,20,0,0
350100,福州市,6,9,0,0
350200,厦门市,3,3,0,0
350400,三明市,1,4,0,0
350500,泉州市,3,1,0,0
350600,漳州市,3,1,0,0
350900,宁德市,2,2,0,0
360000,江西省,36,0,0,0
360100,南昌市,4,0,0,0
360200,景德镇市,1,0,0,0
360300,萍乡市,2,0,0,0
360400,九江市,2,0,0,0
360500,新余市,1,0,0,0
360700,赣州市,7,0,0,0
360800,吉安市,2,0,0,0
360900,宜春市,5,0,0,0
361000,抚州市,6,0,0,0
361100,上饶市,6,0,0,0
370000,山东省,39,11,0,0
370100,济南市,3,0,0,0
370200,青岛市,6,4,0,0
370300,淄博市,1,0,0,0
370600,烟台市,2,1,0,0
370700,潍坊市,2,0,0,0
370800,济宁市,4,0,0,0
371000,威海市,4,3,0,0
371100,日照市,4,0,0,0
371300,临沂市,7,0,0,0
371400,德州市,3,1,0,0
371500,聊城市,1,1,0,0
371600,滨州市,1,0,0,0
371700,菏泽市,1,1,0,0
410000,河南省,83,3,0,1
410100,郑州市,20,0,0,0
410300,洛阳市,1,0,0,0
410400,平顶山市,2,0,0,0
410500,安阳市,3,0,0,0
410700,新乡市,3,0,0,0
411100,漯河市,3,0,0,0
411200,三门峡市,2,0,0,0
411300,南阳市,15,0,0,1
411500,信阳市,22,0,0,0
411600,周口市,5,0,0,0
411700,驻马店市,7,0,0,0
420000,湖北省,1052,0,42,52
420100,武汉市,618,0,40,45
420200,黄石市,31,0,0,1
420300,十堰市,20,0,0,0
420500,宜昌市,20,0,0,1
420600,襄阳市,2,0,0,0
420700,鄂州市,1,0,0,0
420800,荆门市,38,0,0,1
420900,孝感市,55,0,0,0
421000,荆州市,33,0,0,2
421100,黄冈市,122,0,2,2
421200,咸宁市,43,0,0,0
421300,随州市,36,0,0,0
422800,恩施土家族苗族自治州,17,0,0,0
429004,仙桃市,11,0,0,0
429006,天门市,5,0,0,0
430000,湖南省,69,0,0,0
430100,长沙市,18,0,0,0
430200,株洲市,3,0,0,0
430300,湘潭市,3,0,0,0
430400,衡阳市,3,0,0,0
430500,邵阳市,2,0,0,0
430600,岳阳市,6,0,0,0
430700,常德市,7,0,0,0
430900,益阳市,4,0,0,0
431000,郴州市,3,0,0,0
431100,永州市,4,0,0,0
431200,怀化市,8,0,0,0
431300,娄底市,5,0,0,0
433100,湘西土家族苗族自治州,3,0,0,0
440000,广东省,98,0,2,0
440100,广州市,14,0,0,0
440200,韶关市,3,0,0,0
440300,深圳市,27,0,2,0
440400,珠海市,10,0,0,0
440500,汕头市,2,0,0,0
440600,佛山市,10,0,0,0
440800,湛江市,4,0,0,0
441200,肇庆市,4,0,0,0
441300,惠州市,8,0,0,0
441700,阳江市,6,0,0,0
441800,清远市,3,0,0,0
441900,东莞市,2,0,0,0
442000,中山市,2,0,0,0
445200,揭阳市,3,0,0,0
450000,广西壮族自治区,33,0,0,0
450100,南宁市,1,0,0,0
450200,柳州市,4,0,0,0
450300,桂林市,11,0,0,0
450400,梧州市,2,0,0,0
